bajau_name,common_name.x,common_name.y,family,species,photo_ID,status
luppe hias,Striped sweetlips,sweetlip,Haemulidae,Plectorhinchus spp.,8681,Oct dark moon/Ganing
luppe kunih,Striped sweetlips,sweetlip,Haemulidae,Plectorhinchus spp.,8756,Oct dark moon/Laheni
luppe sirah,Striped sweetlips,Oriental sweetlips,Haemulidae,Plectorhinchus vittatus,2306,
luppe tubbal boa,Striped sweetlips,sweetlip,Haemulidae,Plectorhinchus chaetodonoides,5616,Feb bright moon/Musair
malelah,surgeonfish,surgeonfish,Acanthuridae,Acanthurus mata,9110,Nov dark moon/Siddeng
mangali,NA,NA,NA,NA,NA,
mangilala,rabbitfish,rabbitfish,Siganidae,Siganus punctatus,8587,Sept bright moon/Lili
mangilala kuneh,rabbitfish,rabbitfish,Siganidae,Siganus spp.,8611,Sept bright moon/Lili
mogoh,parrotfish,Parrotfish,Scarinae,Scarus spp.,0,
mogoh angke,parrotfish,Bumphead parrotfish,Scarinae,Bolbometopon muricatum,6679,April bright moon/Lahenni
mogoh angke,steephead parrotfish,Steephead parrotfish,Scarinae,Chlorurus microrhinos,2445,
mogoh bataan,parrotfish,Parrotfish,Scarinae,Chlorurus spp.,9104,Nov dark moon/Siddeng
mogoh batu,parrotfish,Parrotfish,Scarinae,Scarus ghobban,8620,Sept bright moon/Dahalang
mogoh birrah,parrotfish,Parrotfish,Scarinae,Cetoscarus bicolor,8612,Sept brigh moon/Lili
mogoh coklat,parrotfish,Parrotfish,Scarinae,Chlorurus spp.,8842,Oct bright moon/May
mogoh hangilo,parrotfish,NA,NA,NA,NA,
mogoh hanyulu,parrotfish,Parrotfish,Scarinae,Chlorurus spp.,6018,March dark moon/Saiful
mogoh hijau,parrotfish,NA,NA,NA,NA,
mogoh kunih,parrotfish,Parrotfish,Scarinae,Scarus ghobban,5653,Feb bright moon/Dahalang
mogoh loong,parrotfish,Parrotfish,Scarinae,Scarus niger,8610,Sept brigh moon/Lili
mogoh mira,parrotfish,NA,NA,NA,NA,
mogoh mondo,parrotfish,Parrotfish,Scarinae,Calotomus carolinus,8705,Oct dark moon/Udin
mogoh mondo bitte,parrotfish,Parrotfish,Scarinae,Calotomus carolinus,6483,April dark moon/Dahlan
mogoh nyulloh,parrotfish,Parrotfish,Scarinae,Chlorurus spp.,8556,Sept bright moon/Alwin
mogoh pote,parrotfish,Parrotfish,Scarinae,Scarus spp.,2837,
mogoh sirah pote,parrotfish,Parrotfish,Scarinae,Scarus dimidiatus,8557,Sept bright moon/Alwin
opa,NA,NA,NA,NA,NA,
palugandah,wrasse,wrasse,Labridae,Cheilo inermis,8779,Oct dark moon/Parjono
pangaluang,Great barracuda,Barracuda,Sphyraenidae,Sphyraena spp.,6453,April dark moon/Dahlan
papalo,Barracuda,Barracuda,Sphyraenidae,Sphyraena spp.,8930,Oct bright moon/Alwin
pello,wrasse,wrasse,Labridae,Halichoeres hortulanus,7181,June dark moon/Irwan
pello gusoh,wrasse,NA,NA,NA,NA,
pello koncang,wrasse,wrasse,Labridae,Hemigymnus melapterus,4896,Jan dark moon/Musair
pello lampa,wrasse,wrasse,Labridae,Oxycheilinus diagrammus,8725,Oct dark moon/Sair
pello langkau boa,wrasse,Wrasse,Labridae,Epibulus insidiator,6381,April dark moon/Acong
pello mira,wrasse,NA,NA,NA,NA,
pello nyuluh,wrasse,NA,NA,NA,NA,
pello pungsu,wrasse,wrasse,Labridae,Hemigymnus melapterus,8667,Sept bright moon/Asiri; tough to read the name on the hard copy
pello sirah,wrasse,Gaimard wrass,Labridae,Coris gaimard,6193,March bright moon/Siddeng
pello sirah pote,wrasse,wrasse,Labridae,Hemigymnus melapterus,6430,April dark moon/Lahenni
pello sirip kunih,wrasse,wrasse,Labridae,Coris gaimard,6748,April bright moon/Dahalang
pepedo,NA,NA,NA,NA,NA,
pesari,NA,NA,NA,NA,NA,
pilangan,Halfbeak,halfbeak,Hemiramphidae,NA,7485,July dark moon/Imaduding
pilangang,Halfbeak,halfbeak,Hemiramphidae,NA,7485,July dark moon/Imaduding
pipili,Trevally,trevally,Carangidae,Caranx spp.,8966,Oct bright moon/Dahalang
pogo,Triggerfish,Triggerfish,Balistidae,Balistapus undulatus,4849,Jan dark moon/Saiful
pogo epe,Triggerfish,NA,NA,NA,NA,
pogo hitam,Triggerfish,Triggerfish,Balistidae,Balistapus undulatus,5991,March dark moon/Parjono
pogo karupu,Triggerfish,black triggerfish,Balistidae,Melichthys niger,9010,Nov dark moon/Arsan
pogo loong,Triggerfish,black triggerfish,Balistidae,Melichthys niger,7541,July dark moon/Siddeng2
pogo mayor,Triggerfish,NA,NA,NA,NA,
pogo mira,Triggerfish,Triggerfish,Balistidae,Balistapus undulatus,8916,Oct bright moon/Gaos2
pogo ngisirah,Triggerfish,NA,NA,NA,NA,
pogo pote,Triggerfish,Blackpatch triggerfish,Balistidae,Rhinecanthus verrucosus,6140,March bright moon/Tallala
pogo punsu,Triggerfish,NA,NA,NA,NA,
pogo sirah,Triggerfish,Triggerfish,Balistidae,Balistapus undulatus,5944,March dark moon/Babo
pogo tarusan,Triggerfish,Bluetooth triggerfish,Balistidae,Odonus niger,7180,June dark moon/Irwan
popogo,Triggerfish,NA,NA,NA,NA,
pote,NA,NA,NA,NA,7339,no need - July dark moon/Arsan
rambeng,Neon fusilier,Fusilier,Caesionidae,Caesio lunaris,9324,Dec dark moon/Juro
rambeng ungko kuneh,Neon fusilier,Fusilier,Caesionidae,Caesio lunaris,0,
ruruma,Rainbow fusilier,Mackerel,Scombridae,Rastrelliger kanagurta,7159,June dark moon/Irwan
sampeh lea,snapper,snapper,Lutjanidae,Lutjanus spp.,9144,Nov bright moon/Syahrir
sasageh,Striped large-eye bream,Striped large-eye bream ,Lethrinidae,Gnathodentex aureolineatus,8761,Oct dark moon/Bagon
sasageh kuneh,Striped large-eye bream,Blue-striped snapper,Lutjanidae,Lutjanus kasmira,2437,
sualalah,monocle bream,monocle bream,Nemipteridae,Scolopsis spp.,8641,Sept bright moon/Unyil.pdf
sulai asah,Midnight snapper,Midnight snapper,Lutjanidae,Macolor macularis,6118,March bright moon/Irwan
sumpa,Lethrinus spp,Emperor,Lethrinidae,Lethrinus erythropterus,8591,Sept bright moon/Aco
sumpa bannah,Lethrinus spp,Emperor,Lethrinidae,Lethrinus spp.,0,
sumpah lelah,Lethrinus spp,Emperor,Lethrinidae,Lethrinus spp.,0,
sumpeh,NA,NA,NA,NA,NA,
sunu,Grouper,grouper,Serranidae,Plectropomus spp.,0,
sunu balia,Grouper,grouper,Serranidae,Epinephelus spp.,9467,Dec bright moon/Dinar
sunu cambah,grouper,grouper,Serranidae,Plectropomus oligacanthus,8548,Sept bright moon/Jura
sunu cambah loong,Grouper,grouper,Serranidae,Plectropomus oligacanthus,5729,Feb bright moon/Mustamin
sunu coklat,Grouper,grouper,Serranidae,,NA,
sunu hitam,Grouper,grouper,Serranidae,Plectropomus leopardus,6434,April dark moon/Lahenni
sunu loong,Grouper,grouper,Serranidae,Cephalopholis spp.,6067,March dark moon/Ardin
sunu mira,Grouper,Leopard coral grouper,Serranidae,Plectropomus leopardus,8546,Sept bright moon/Jura
sunu tallah,Grouper,grouper,Serranidae,Anyperodon leucogrammicus,9465,Dec bright moon/Dinar
taboh,NA,NA,NA,NA,7337,no need - July dark moon/Arsan
taburoh,Boxfish,boxfish,Ostraciidae,Ostracion spp.,8980,Oct bright moon/Asiri
talunsu,NA,NA,NA,NA,NA,
tambiro,Emperor,Emperor,Lethrinidae,Lethrinus spp.,8559,Sept bright moon/Alwin
tambiro alus,Emperor,Emperor,Lethrinidae,Lethrinus spp.,0,
tape,NA,NA,NA,NA,NA,
tarigongoh,NA,NA,NA,NA,NA,
taringan,grouper,grouper,Serranidae,Variola louti,8533,Sept bright moon/Hartono
taringan loong,Variola louti,grouper,Serranidae,Variola louti,6489,April dark moon/Lahati
tatape,Moorish idol,moorish idol,Zanclidae,Zanclus cornutus,8775,Oct dark moon/Parjono
tatape bulan,Butterfly fish,butterflyfish,Chaetodontidae,Chaetodon ephippium,5684,Feb bright moon/Dahalang
tatape buna,Moorish idol,moorish idol,Zanclidae,Zanclus cornutus,8775,Oct dark moon/Parjono
tatape dodoh,big batfish,NA,NA,NA,NA,
