bajau_name,common_name.x,family,species,photo_ID,fg,habitat,included,status
sasageh kuneh,Striped large-eye bream,Lutjanidae,Lutjanus kasmira,2437,Pisci-invertivore,Reef,1,
sualalah,monocle bream,Nemipteridae,Scolopsis spp.,8641,Micro-invertivore,Reef,1,Sept bright moon/Unyil.pdf
sulai asah,Midnight snapper,Lutjanidae,Macolor macularis,6118,Pisci-invertivore,Reef,1,March bright moon/Irwan
sumpa,Lethrinus spp,Lethrinidae,Lethrinus erythropterus,8591,Pisci-invertivore,Reef,1,Sept bright moon/Aco
sumpa bannah,Lethrinus spp,Lethrinidae,Lethrinus spp.,0,Pisci-invertivore,Reef,1,
sumpah lelah,Lethrinus spp,Lethrinidae,Lethrinus spp.,0,Pisci-invertivore,Reef,1,
sumpeh,NA,NA,NA,NA,NA,NA,NA,
sunu,Grouper,Serranidae,Plectropomus spp.,0,Piscivore,Reef,1,
sunu balia,Grouper,Serranidae,Epinephelus spp.,9467,Piscivore,Reef,1,Dec bright moon/Dinar
sunu cambah,grouper,Serranidae,Plectropomus oligacanthus,8548,Piscivore,Reef,1,Sept bright moon/Jura
sunu cambah loong,Grouper,Serranidae,Plectropomus oligacanthus,5729,Piscivore,Reef,1,Feb bright moon/Mustamin
sunu coklat,Grouper,Serranidae,,NA,NA,NA,NA,
sunu hitam,Grouper,Serranidae,Plectropomus leopardus,6434,Piscivore,Reef,1,April dark moon/Lahenni
sunu loong,Grouper,Serranidae,Cephalopholis spp.,6067,Pisci-invertivore,Reef,1,March dark moon/Ardin
sunu mira,Grouper,Serranidae,Plectropomus leopardus,8546,Piscivore,Reef,1,Sept bright moon/Jura
sunu tallah,Grouper,Serranidae,Anyperodon leucogrammicus,9465,Piscivore,Reef,1,Dec bright moon/Dinar
taboh,NA,NA,NA,7337,NA,NA,NA,no need - July dark moon/Arsan
taburoh,Boxfish,Ostraciidae,Ostracion spp.,8980,Micro-invertivore,Reef,1,Oct bright moon/Asiri
talunsu,NA,NA,NA,NA,NA,NA,NA,
tambiro,Emperor,Lethrinidae,Lethrinus spp.,8559,Pisci-invertivore,Reef,1,Sept bright moon/Alwin
tambiro alus,Emperor,Lethrinidae,Lethrinus spp.,0,Pisci-invertivore,Reef,1,
tape,NA,NA,NA,NA,NA,NA,NA,
tarigongoh,NA,NA,NA,NA,NA,NA,NA,
taringan,grouper,Serranidae,Variola louti,8533,Piscivore,Reef,1,Sept bright moon/Hartono
taringan loong,Variola louti,Serranidae,Variola louti,6489,Piscivore,Reef,1,April dark moon/Lahati
tatape,Moorish idol,Zanclidae,Zanclus cornutus,8775,Micro-invertivore,Reef,1,Oct dark moon/Parjono
tatape bulan,Butterfly fish,Chaetodontidae,Chaetodon ephippium,5684,Micro-invertivore,Reef,1,Feb bright moon/Dahalang
tatape buna,Moorish idol,Zanclidae,Zanclus cornutus,8775,Micro-invertivore,Reef,1,Oct dark moon/Parjono
